Descriptor,Result
NXXX_ρ,12.80008250486236
NXXM_ρ,0.0
NXMM_ρ,0.0
NMMM_ρ,5494.477785354162
OOOO_ρ,174103.44815177293
OOOX_ρ,-33.339964605207115
OOOM_ρ,19692.032655192193
OOXX_ρ,78.33843541558826
OOXM_ρ,0.0
OOMM_ρ,-112564.85363322173
OXXX_ρ,-70.96819260495488
OXXM_ρ,0.0
OXMM_ρ,0.0
OMMM_ρ,40026.53881126941
XXXX_ρ,196.97820988113608
XXXM_ρ,0.0
XXMM_ρ,0.0
XMMM_ρ,0.0
MMMM_ρ,0.0
SSSS_ᵡ,-255024.34431113725
SSSC_ᵡ,-30035.353684303456
SSSN_ᵡ,167830.35087177434
SSSO_ᵡ,51215.412399715286
SSSX_ᵡ,0.0
SSSM_ᵡ,328.1946904649035
SSCC_ᵡ,-3980.2925822331667
SSCN_ᵡ,169513.38210832034
SSCO_ᵡ,-3855.464095382838
SSCX_ᵡ,0.0
SSCM_ᵡ,-6683.045346945831
SSNN_ᵡ,0.0
SSNO_ᵡ,-108982.49740194983
SSNX_ᵡ,0.0
SSNM_ᵡ,-143784.3898924782
SSOO_ᵡ,21647.764569829997
SSOX_ᵡ,0.0
SSOM_ᵡ,703306.091188804
SSXX_ᵡ,0.0
SSXM_ᵡ,0.0
SSMM_ᵡ,-6137.450408989114
SCCC_ᵡ,4676.29478931892
SCCN_ᵡ,-14884.635454455682
SCCO_ᵡ,12044.215922111845
SCCX_ᵡ,0.0
SCCM_ᵡ,-1986.4445526430525
SCNN_ᵡ,-244251.80747552088
SCNO_ᵡ,-16584.10190754908
SCNX_ᵡ,0.0
SCNM_ᵡ,74120.82875120165
SCOO_ᵡ,-9160.386708199734
SCOX_ᵡ,0.0
SCOM_ᵡ,45041.66086763587
SCXX_ᵡ,0.0
SCXM_ᵡ,0.0
SCMM_ᵡ,-3169.2429623913195
SNNN_ᵡ,0.0
SNNO_ᵡ,-23410.881458561074
SNNX_ᵡ,0.0
SNNM_ᵡ,21961.533953384445
SNOO_ᵡ,948.004860208695
SNOX_ᵡ,0.0
SNOM_ᵡ,57967.624946534546
SNXX_ᵡ,0.0
SNXM_ᵡ,0.0
SNMM_ᵡ,-84508.93867005831
SOOO_ᵡ,8970.211131036
SOOX_ᵡ,0.0
SOOM_ᵡ,-102888.05072820825
SOXX_ᵡ,0.0
SOXM_ᵡ,0.0
SOMM_ᵡ,236647.23907221563
SXXX_ᵡ,0.0
SXXM_ᵡ,0.0
SXMM_ᵡ,0.0
SMMM_ᵡ,4442.789210675203
CCCC_ᵡ,-2940.3045061786165
CCCN_ᵡ,9315.04410331271
CCCO_ᵡ,-18789.844675432614
CCCX_ᵡ,504.11410873957493
CCCM_ᵡ,10102.348249617378
CCNN_ᵡ,-12898.514862934806
CCNO_ᵡ,-3150.8735029933614
CCNX_ᵡ,-86.20087501171656
CCNM_ᵡ,-6958.323227464137
